Line,GroupCode,ODPEstimate,ODPStandardDev,OutcomePercentile,Outcome
CA,353,39193,1389,73.91,40000
CA,388,716706,32055,83.2,745997
CA,620,398889,9546,13.49,388485
CA,833,25362,912,20.86,24613
CA,1066,72826,38191,7.3,63022
CA,1090,20534,762,85.63,21354
CA,1538,91356,2472,40.26,90687
CA,1767,2283507,20164,0.1,2226624
CA,2135,540193,11084,8.5,525310
CA,2208,4899,0,100,5528
CA,2623,457917,9089,94.87,472426
CA,2712,363414,7634,0.17,342916
CA,3240,97107,2494,2.48,92488
CA,3492,72212,1814,2.83,69017
CA,4839,152583,3028,76.27,154644
CA,5185,90209,2764,28.6,88577
CA,6408,17082,734,9.54,16182
CA,6459,8845,622,56.02,8835
CA,6947,16767,471,49.93,16729
CA,7080,341443,7678,13.82,333099
CA,8427,8920,751,15.42,8202
CA,10022,6155,386,19.79,5829
CA,10308,5174,222,82.44,5363
CA,11037,23211,1178,2.23,20924
CA,11118,32828,1430,17.97,31515
CA,13420,-4116,594438,64.1,1103
CA,13439,3807,277,33.72,3667
CA,13641,8101,745,79.66,8590
CA,13889,1839,123,96.56,2100
CA,14044,5779,260,4.28,5403
CA,14176,24303,1842,6.48,21764
CA,14257,7143,86528,83.09,6874
CA,14320,1731,121,82,1830
CA,14974,36655,1612,87.03,38445
CA,15199,2028,788,57.95,2033
CA,18163,32161,1142,54.5,32208
CA,18767,87995,3497,0.17,79612
CA,19020,12852,703,99.99,16976
CA,21270,4420,303,70.78,4540
CA,25275,1260,244,19.23,1061
CA,27022,2184,172,9.21,1970
CA,27065,3687,208,42.23,3620
CA,29440,12861,1265553,55.53,2971
CA,31550,13685,299,24.94,13474
CA,32301,7794,970,76.78,8264
CA,34606,675,112,8.94,569
CA,35483,1229,20438,33.58,1168
CA,37036,12174,468,40.54,12041
CA,38733,27393,2300,50.65,27091
CA,44598,1022,2708,84,1143
PA,353,129764,2145,1.27,125467
PA,388,1153921,52364,0,921525
PA,620,506235,4334,30.6,503945
PA,692,302330,6358,2.18,290971
PA,715,178997,3202,0,165178
PA,1066,217381,3383,13.67,213794
PA,1090,1095652,5493,1.28,1083616
PA,1538,316694,2817,2.23,311264
PA,1767,92409822,470588,1.39,91360195
PA,2003,12620713,143286,5.42,12393224
PA,2143,136331,1943,45.9,136033
PA,3240,1127855,7609,0,1085241
PA,4839,3029500,11721,42.61,3027062
PA,5185,268844,7204,10.89,260587
PA,6947,913958,3420,4.85,908288
PA,7080,1473801,29970,32.38,1459916
PA,8427,124738,1696,91.06,127048
PA,8559,149275,1420,0.29,145675
PA,10022,64246,732,17.32,63561
PA,13420,79303,1251,0,73123
PA,13439,36902,756,18.84,36223
PA,13501,101187,1483,21.11,99976
PA,13528,5970,52419,8.35,4739
PA,13587,6756,400,12.74,6317
PA,13595,17424,411,3.53,16740
PA,13641,74183,1281,0.05,70599
PA,13889,114166,1288,38.44,113768
PA,14044,36627,409,51.8,36628
PA,14176,143188,2645,2.51,138457
PA,14257,115848,1657,46.6,115643
PA,14311,136717,3060,0.15,128523
PA,14443,99540,1056,0.07,96494
PA,15199,111698,1435,0.03,106435
PA,15393,20962,512,0.02,19351
PA,15660,52888,656,62.63,53079
PA,16373,9706,101,77.95,9780
PA,16799,34654,589,0.01,32834
PA,18163,133109,1019,0.07,130229
PA,18791,92427,1195,71.18,93053
PA,23574,22517,481,10.86,21936
PA,25275,97250,1255,99.99,101929
PA,27022,63151,1032,0.07,60252
PA,27065,43880,578,29.11,43556
PA,27499,2716,84,95.69,2873
PA,27766,2000,82,3.78,1877
PA,29440,69835,1831,86.77,71870
PA,31550,33714,384,5.83,33123
PA,34509,19510,409,8.99,18981
PA,34592,79701,1536,1.57,76514
